Date/Clock time,45695.4,,,,,,,,
Tester,"Arik, Cameron",,,,,,,,
Specimen designation,316H-elg_320MPa_550C_02,,,,,,,,
Diameter,6.0475,mm,,,,,,,
Material,316H-elg,,,,,,,,
Load cell,100kN,,,,,,,,
Extensometer,Epsilon 3549 SN102121 GL25mm,,,,,,,,
"Gage length, standard travel",25,mm,,,,,,,
Test standard,ASTM E136,,,,,,,,
Machine data,ZwickRoell Kappa100 SS-CF,,,,,,,,
Time,Test time,Standard travel,Standard force,Temperature,Temperature 3,,,,
h,h,%,MPa,°C,°C,,,,
61.9887,58.1726,9.48925,320.007,550.021,549.919,,,,
62.072,58.2559,9.4885,320.004,549.868,549.922,,,,
62.1554,58.3392,9.49537,319.997,549.98,549.996,,,,
62.2387,58.4226,9.49213,320.002,549.997,550.005,,,,
62.322,58.5059,9.48942,320.003,550.012,549.891,,,,
62.4054,58.5892,9.49404,320.005,549.843,549.901,,,,
62.4887,58.6726,9.49029,320.011,549.784,549.867,,,,
62.572,58.7559,9.48924,320.011,549.809,549.846,,,,
62.6554,58.8392,9.48817,319.997,549.911,549.778,,,,
62.7387,58.9226,9.48792,319.995,549.835,549.883,,,,
62.822,59.0059,9.48185,320.008,549.857,549.945,,,,
62.9054,59.0892,9.48896,320.001,549.855,549.878,,,,
62.9887,59.1726,9.4829,320.003,550.003,549.901,,,,
63.072,59.2559,9.48851,320.005,549.918,549.982,,,,
63.1554,59.3392,9.49133,320.003,549.943,550.048,,,,
63.2387,59.4226,9.49135,320.009,549.955,549.998,,,,
63.322,59.5059,9.48629,320.007,550.023,549.921,,,,
63.4054,59.5892,9.48678,320.007,549.902,550.012,,,,
63.4887,59.6726,9.4884,320.008,549.964,550.02,,,,
63.572,59.7559,9.49011,320.004,549.929,550.021,,,,
63.6554,59.8392,9.48934,320.007,549.933,549.831,,,,
63.7387,59.9226,9.49651,320.007,549.795,549.887,,,,
63.822,60.0059,9.48903,319.995,549.904,549.953,,,,
63.9054,60.0892,9.49176,320.006,549.884,549.801,,,,
63.9887,60.1726,9.4951,320,549.865,549.759,,,,
64.072,60.2559,9.49216,319.997,549.775,549.944,,,,
64.1554,60.3392,9.48763,320.006,549.786,549.87,,,,
64.2387,60.4226,9.48496,319.995,549.862,549.91,,,,
64.322,60.5059,9.48811,320,549.934,549.82,,,,
64.4054,60.5892,9.49537,320.003,549.788,549.907,,,,
64.4887,60.6726,9.48947,320.003,549.887,549.964,,,,
64.572,60.7559,9.49057,320.006,549.937,549.972,,,,
64.6554,60.8392,9.48971,320.01,549.992,549.88,,,,
64.7387,60.9226,9.49449,320.006,549.899,549.981,,,,
64.822,61.0059,9.49274,319.999,549.905,549.978,,,,
64.9054,61.0892,9.49305,320.007,549.924,549.851,,,,
64.9887,61.1726,9.49034,320.003,549.929,549.816,,,,
65.072,61.2559,9.49375,320.003,549.813,549.917,,,,
65.1554,61.3392,9.48614,320.007,549.827,549.926,,,,
65.2387,61.4226,9.4931,320.01,549.878,549.783,,,,
65.322,61.5059,9.48796,319.999,549.797,549.77,,,,
65.4054,61.5892,9.4959,320.011,549.821,549.899,,,,
65.4887,61.6726,9.48534,320,549.841,549.937,,,,
65.572,61.7559,9.49214,319.994,549.925,549.831,,,,
65.6554,61.8392,9.49492,320.003,549.912,549.887,,,,
65.7387,61.9226,9.5036,320.005,549.933,549.96,,,,
65.822,62.0059,9.49066,320.003,549.918,549.978,,,,
65.9054,62.0892,9.49083,319.995,549.975,549.896,,,,
65.9887,62.1726,9.48705,319.998,549.9,549.916,,,,
66.072,62.2559,9.49174,320.006,550.021,550.086,,,,
66.1554,62.3392,9.4901,319.999,549.874,549.991,,,,
66.2387,62.4226,9.49192,320.003,550.006,549.912,,,,
66.322,62.5059,9.48832,320.007,549.896,549.912,,,,
66.4054,62.5892,9.49868,319.999,549.929,549.952,,,,
66.4887,62.6726,9.49541,320.001,549.887,549.951,,,,
66.572,62.7559,9.49174,319.993,549.899,549.805,,,,
66.6554,62.8392,9.4859,319.995,549.804,549.852,,,,
66.7387,62.9226,9.50045,320.001,549.823,549.929,,,,
66.822,63.0059,9.49602,319.997,549.932,549.871,,,,
66.9054,63.0892,9.49674,320.005,549.924,549.799,,,,
66.9887,63.1726,9.49481,320.011,549.898,549.926,,,,
67.072,63.2559,9.49503,320.003,549.899,549.953,,,,
67.1554,63.3392,9.49273,320,549.925,549.944,,,,
67.2387,63.4226,9.49037,320.003,549.979,549.867,,,,
67.322,63.5059,9.49579,320.004,549.925,549.962,,,,
67.4054,63.5892,9.49955,320.007,549.917,549.966,,,,
67.4887,63.6726,9.49272,320.005,549.863,549.901,,,,
67.572,63.7559,9.4945,319.995,549.905,549.786,,,,
67.6554,63.8392,9.49734,320.001,549.787,549.81,,,,
67.7387,63.9226,9.50121,320,549.865,549.867,,,,
67.822,64.0059,9.49798,319.991,549.922,549.974,,,,
67.9054,64.0892,9.49453,320.01,549.927,549.851,,,,
67.9887,64.1726,9.49057,320.003,549.864,549.73,,,,
68.072,64.2559,9.49817,320.005,549.825,549.854,,,,
68.1554,64.3392,9.50495,320.003,549.879,549.912,,,,
68.2387,64.4226,9.49438,320.01,549.947,549.923,,,,
68.322,64.5059,9.49628,320.003,549.99,549.857,,,,
68.4054,64.5892,9.49602,320.001,549.878,549.913,,,,
68.4887,64.6726,9.50085,319.998,549.903,549.961,,,,
68.572,64.7559,9.49589,320.01,549.999,549.908,,,,
68.6554,64.8392,9.49694,319.997,549.981,549.958,,,,
68.7387,64.9226,9.50056,320.007,550.036,550.071,,,,
68.822,65.0059,9.50642,320.002,549.937,549.977,,,,
68.9054,65.0892,9.49805,320.003,549.929,549.892,,,,
68.9887,65.1726,9.49485,319.999,549.894,549.77,,,,
69.072,65.2559,9.49583,320.006,549.868,549.879,,,,
69.1554,65.3392,9.49572,320.005,549.918,549.966,,,,
69.2387,65.4226,9.49795,319.989,549.993,549.951,,,,
69.322,65.5059,9.49569,320,549.998,549.849,,,,
69.4054,65.5892,9.49952,319.998,549.924,549.989,,,,
69.4887,65.6726,9.49346,319.999,549.883,549.936,,,,
69.572,65.7559,9.4973,320.008,549.913,549.784,,,,
69.6554,65.8392,9.49869,320.005,549.91,549.817,,,,
69.7387,65.9226,9.49679,320.007,549.85,549.905,,,,
69.822,66.0059,9.49662,320.007,549.902,549.851,,,,
69.9054,66.0892,9.49653,320.001,549.923,549.808,,,,
69.9887,66.1726,9.50052,320.003,549.887,549.963,,,,
70.072,66.2559,9.50049,320.005,549.974,549.948,,,,
70.1554,66.3392,9.50055,320.008,549.945,549.842,,,,
70.2387,66.4226,9.49932,320.003,549.83,549.937,,,,
70.322,66.5059,9.49516,320.002,549.852,549.909,,,,
70.4054,66.5892,9.49675,319.999,549.949,549.856,,,,
70.4887,66.6726,9.50003,320.002,549.78,549.85,,,,
70.572,66.7559,9.5041,320.008,549.764,549.869,,,,
70.6554,66.8392,9.49884,320.005,549.909,549.857,,,,
70.7387,66.9226,9.49957,320.001,549.893,549.78,,,,
70.822,67.0059,9.4961,319.999,549.819,549.912,,,,
70.9054,67.0892,9.49941,319.998,549.967,549.949,,,,
70.9887,67.1726,9.49674,319.994,549.947,549.818,,,,
71.072,67.2559,9.49993,320.002,549.806,549.875,,,,
71.1554,67.3392,9.50215,319.995,549.905,549.882,,,,
71.2387,67.4226,9.4988,320.003,549.946,549.841,,,,
71.322,67.5059,9.49595,319.999,549.865,549.927,,,,
71.4054,67.5892,9.49499,320.005,549.795,549.863,,,,
71.4887,67.6726,9.49829,320.005,549.91,549.802,,,,
71.572,67.7559,9.49685,320.001,549.829,549.834,,,,
71.6554,67.8392,9.50718,320.002,549.874,549.973,,,,
71.7387,67.9226,9.49757,319.998,549.987,549.905,,,,
71.822,68.0059,9.50382,320.004,549.985,549.888,,,,
71.9054,68.0892,9.5011,320.011,549.86,549.942,,,,
71.9887,68.1726,9.50357,320.008,549.91,549.959,,,,
72.072,68.2559,9.4983,319.995,549.931,549.823,,,,
72.1554,68.3392,9.49736,320.001,549.786,549.828,,,,
72.2387,68.4226,9.50495,320.007,549.869,549.92,,,,
72.322,68.5059,9.50058,319.989,549.962,549.869,,,,
72.4054,68.5892,9.49941,320.011,549.927,549.846,,,,
72.4887,68.6726,9.50342,319.998,549.835,549.921,,,,
72.572,68.7559,9.50213,320,550.003,549.944,,,,
72.6554,68.8392,9.49759,320.004,549.995,549.888,,,,
72.7387,68.9226,9.49884,320.01,549.957,549.972,,,,
72.822,69.0059,9.5028,320.002,549.98,549.862,,,,
72.9054,69.0892,9.50241,320.006,549.916,549.82,,,,
72.9887,69.1726,9.50151,320.012,549.92,549.957,,,,
73.072,69.2559,9.50216,320.004,549.912,549.87,,,,
73.1554,69.3392,9.49837,320.003,549.945,549.841,,,,
73.2387,69.4226,9.50037,320.01,549.915,549.907,,,,
73.322,69.5059,9.50369,320.009,549.8,549.925,,,,
73.4054,69.5892,9.49867,320.006,549.952,549.866,,,,
73.4887,69.6726,9.50061,320.006,549.917,549.888,,,,
73.572,69.7559,9.50089,320.007,549.895,549.974,,,,
73.6554,69.8392,9.50407,320.005,549.98,549.94,,,,
73.7387,69.9226,9.49992,320.001,549.994,549.912,,,,
73.822,70.0059,9.50017,320,549.917,549.96,,,,
73.9054,70.0892,9.50754,320.006,549.988,550.068,,,,
73.9887,70.1726,9.49761,320,549.962,549.895,,,,
74.072,70.2559,9.50508,320.002,549.911,549.929,,,,
74.1554,70.3392,9.51069,319.998,549.875,549.978,,,,
74.2387,70.4226,9.50384,320.003,549.944,549.868,,,,
74.322,70.5059,9.50089,320,549.926,549.814,,,,
74.4054,70.5892,9.5038,320.001,549.842,549.927,,,,
74.4887,70.6726,9.50047,320.006,549.855,549.943,,,,
74.572,70.7559,9.50461,319.999,549.921,549.852,,,,
74.6554,70.8392,9.50368,320.009,549.888,549.832,,,,
74.7387,70.9226,9.50404,320,549.875,549.976,,,,
74.822,71.0059,9.50257,319.995,549.854,549.955,,,,
74.9054,71.0892,9.49882,320.003,549.963,549.88,,,,
74.9887,71.1726,9.5023,320.003,549.856,549.934,,,,
75.072,71.2559,9.50445,320.009,549.845,549.979,,,,
75.1554,71.3392,9.50141,319.994,549.955,549.892,,,,
75.2387,71.4226,9.49797,320.001,549.95,549.819,,,,
75.322,71.5059,9.50115,320.011,549.899,550.029,,,,
75.4054,71.5892,9.50328,320.008,549.892,549.956,,,,
75.4887,71.6726,9.50046,319.999,549.976,549.876,,,,
75.572,71.7559,9.49559,319.998,549.863,549.955,,,,
75.6554,71.8392,9.50687,320.007,549.937,550.054,,,,
75.7387,71.9226,9.50085,320.004,549.972,549.917,,,,
75.822,72.0059,9.50218,320.002,549.92,549.945,,,,
75.9054,72.0892,9.50578,320.008,549.866,549.967,,,,
75.9887,72.1726,9.50328,320.006,549.841,549.796,,,,
76.072,72.2559,9.50306,319.997,549.811,549.708,,,,
76.1554,72.3392,9.49974,320.005,549.69,549.806,,,,
76.2387,72.4226,9.50373,319.995,549.804,549.906,,,,
76.322,72.5059,9.50327,320.006,549.942,549.867,,,,
76.4054,72.5892,9.49678,320.001,549.95,549.957,,,,
76.4887,72.6726,9.50454,320.001,549.921,550.032,,,,
76.572,72.7559,9.50374,320,549.938,549.877,,,,
76.6554,72.8392,9.50095,320.001,549.945,549.892,,,,
76.7387,72.9226,9.50551,320.005,549.844,549.966,,,,
76.822,73.0059,9.50374,320.006,549.885,549.966,,,,
76.9054,73.0892,9.50301,320.003,549.903,549.811,,,,
76.9887,73.1726,9.50468,320.002,549.781,549.844,,,,
77.072,73.2559,9.50263,319.994,549.93,550.043,,,,
77.1554,73.3392,9.50492,319.997,549.963,549.886,,,,
77.2387,73.4226,9.4957,320,549.95,549.959,,,,
77.322,73.5059,9.50283,320.006,549.946,550.038,,,,
77.4054,73.5892,9.50338,320,549.994,549.898,,,,
77.4887,73.6726,9.50746,320.003,549.901,549.951,,,,
77.572,73.7559,9.50409,319.998,549.779,549.864,,,,
77.6554,73.8392,9.50422,320.002,549.949,549.855,,,,
77.7387,73.9226,9.50984,320.005,549.881,549.908,,,,
77.822,74.0059,9.50781,320.004,549.753,549.887,,,,
77.9054,74.0892,9.50557,320.007,549.967,549.87,,,,
77.9887,74.1726,9.50562,320.002,549.905,549.932,,,,
78.072,74.2559,9.50438,320.005,549.855,549.928,,,,
78.1554,74.3392,9.49995,320.003,549.865,549.768,,,,
78.2387,74.4226,9.50146,320.004,549.887,549.824,,,,
78.322,74.5059,9.50402,319.999,549.899,549.973,,,,
78.4054,74.5892,9.50574,320.008,549.953,549.928,,,,
78.4887,74.6726,9.50375,320.01,549.986,549.847,,,,
78.572,74.7559,9.50228,320,549.867,549.949,,,,
78.6554,74.8392,9.50438,320,549.941,549.946,,,,
78.7387,74.9226,9.50377,320.01,549.964,549.844,,,,
78.822,75.0059,9.49669,320,549.904,549.938,,,,
78.9054,75.0892,9.50504,320.004,549.86,549.986,,,,
78.9887,75.1726,9.50402,320.006,549.945,549.835,,,,
79.072,75.2559,9.50416,320.007,549.883,549.933,,,,
79.1554,75.3392,9.50891,319.997,549.944,550.018,,,,
79.2387,75.4226,9.50239,320.007,550.025,549.918,,,,
79.322,75.5059,9.5085,320,550.03,549.918,,,,
79.4054,75.5892,9.51176,320.012,549.884,549.976,,,,
79.4887,75.6726,9.50482,320.001,549.91,549.941,,,,
79.572,75.7559,9.50436,319.999,549.959,549.845,,,,
79.6554,75.8392,9.50417,320.008,549.884,549.777,,,,
79.7387,75.9226,9.51067,320,549.887,549.934,,,,
79.822,76.0059,9.50674,320.001,549.899,549.885,,,,
79.9054,76.0892,9.50434,319.998,549.949,549.832,,,,
79.9887,76.1726,9.49757,319.997,549.739,549.878,,,,
80.072,76.2559,9.50363,320.005,549.922,550.063,,,,
80.1554,76.3392,9.50629,320.006,549.999,549.936,,,,
80.2387,76.4226,9.50906,320.003,549.952,549.976,,,,
80.322,76.5059,9.50156,320.007,549.901,550.027,,,,
80.4054,76.5892,9.50779,319.999,550.015,549.962,,,,
80.4887,76.6726,9.50372,320.001,550.027,549.933,,,,
80.572,76.7559,9.50667,320.003,549.934,550.061,,,,
80.6554,76.8392,9.50809,319.999,549.928,550.024,,,,
80.7387,76.9226,9.50719,320.002,550.019,549.959,,,,
80.822,77.0059,9.50475,320.009,550.011,549.988,,,,
80.9054,77.0892,9.50817,320.004,549.807,549.884,,,,
80.9887,77.1726,9.50415,320.001,549.891,550.002,,,,
81.072,77.2559,9.50284,320.001,549.91,549.827,,,,
81.1554,77.3392,9.50972,320.011,549.867,549.871,,,,
81.2387,77.4226,9.51,319.998,549.871,549.977,,,,
81.322,77.5059,9.50117,319.995,549.84,549.955,,,,
81.4054,77.5892,9.50748,319.996,549.905,549.845,,,,
81.4887,77.6726,9.50182,319.999,549.907,549.828,,,,
81.572,77.7559,9.5099,320.002,549.866,549.946,,,,
81.6554,77.8392,9.51078,319.999,549.876,549.934,,,,
81.7387,77.9226,9.50846,319.999,549.945,549.902,,,,
81.822,78.0059,9.508,319.999,550.001,549.956,,,,
81.9054,78.0892,9.50959,320.003,550.001,550.051,,,,
81.9887,78.1726,9.51324,320.001,549.927,550.018,,,,
82.072,78.2559,9.50918,319.999,549.997,549.936,,,,
82.1554,78.3392,9.50889,319.994,550.031,549.91,,,,
82.2387,78.4226,9.51275,320.002,549.857,549.919,,,,
82.322,78.5059,9.50548,320.003,549.804,549.907,,,,
82.4054,78.5892,9.50943,320,549.849,549.874,,,,
82.4887,78.6726,9.50341,319.998,549.949,549.855,,,,
82.572,78.7559,9.50302,320.009,549.949,550.028,,,,
82.6554,78.8392,9.51244,320.001,549.951,550.027,,,,
82.7387,78.9226,9.51365,319.999,550.038,549.958,,,,
82.822,79.0059,9.50986,319.997,550.01,549.905,,,,
82.9054,79.0892,9.50513,319.993,549.944,550.031,,,,
82.9887,79.1726,9.5116,320.008,549.922,550.002,,,,
83.072,79.2559,9.50646,320.002,550.027,549.953,,,,
83.1554,79.3392,9.50744,320.002,549.941,549.964,,,,
83.2387,79.4226,9.51235,320.002,549.883,549.994,,,,
83.322,79.5059,9.50636,319.996,549.931,550.044,,,,
83.4054,79.5892,9.50716,320.001,549.968,549.898,,,,
83.4887,79.6726,9.50787,320.007,549.878,549.813,,,,
83.572,79.7559,9.50456,320.01,549.751,549.853,,,,
83.6554,79.8392,9.50553,320.009,549.663,549.766,,,,
83.7387,79.9226,9.50518,320.007,549.7,549.774,,,,
83.822,80.0059,9.50479,320.007,549.752,549.685,,,,
83.9054,80.0892,9.51396,320.005,549.625,549.707,,,,
83.9887,80.1726,9.51066,320.009,549.819,549.882,,,,
84.072,80.2559,9.51071,320.001,549.844,549.9,,,,
84.1554,80.3392,9.50658,320.001,549.898,549.838,,,,
84.2387,80.4226,9.50783,320.001,549.891,549.826,,,,
84.322,80.5059,9.5123,319.996,549.937,550.002,,,,
84.4054,80.5892,9.50936,320.009,549.946,550,,,,
84.4887,80.6726,9.50624,320.001,550.002,549.935,,,,
84.572,80.7559,9.50421,320.009,550.029,549.917,,,,
84.6554,80.8392,9.51408,320.003,549.963,550.036,,,,
84.7387,80.9226,9.50547,320.008,549.989,550.024,,,,
84.822,81.0059,9.50976,320.001,550.051,549.952,,,,
84.9054,81.0892,9.51178,319.999,550.024,549.916,,,,
84.9887,81.1726,9.5157,320,549.968,549.999,,,,
85.072,81.2559,9.51002,320.007,549.956,549.988,,,,
85.1554,81.3392,9.50846,319.998,549.894,549.977,,,,
85.2387,81.4226,9.50981,320.001,550.017,549.921,,,,
85.322,81.5059,9.50997,320.005,549.985,549.942,,,,
85.4054,81.5892,9.51717,320.001,549.978,550.031,,,,
85.4887,81.6726,9.50917,320.004,549.954,550.019,,,,
85.572,81.7559,9.50862,319.998,549.99,549.935,,,,
85.6554,81.8392,9.51089,319.996,549.957,549.857,,,,
85.7387,81.9226,9.50922,320.002,549.833,549.929,,,,
85.822,82.0059,9.51389,319.999,549.878,549.954,,,,
85.9054,82.0892,9.51213,320.01,549.907,549.887,,,,
85.9887,82.1726,9.50433,320.003,549.922,549.803,,,,
86.072,82.2559,9.51429,320.002,549.9,549.952,,,,
86.1554,82.3392,9.51825,320.006,549.901,549.97,,,,
86.2387,82.4226,9.51392,319.999,549.912,549.979,,,,
86.322,82.5059,9.51004,319.997,549.883,549.769,,,,
86.4054,82.5892,9.51056,320.002,549.833,549.776,,,,
86.4887,82.6726,9.5114,319.995,549.827,549.877,,,,
86.572,82.7559,9.5078,319.999,549.86,549.93,,,,
86.6554,82.8392,9.51018,320.003,549.91,549.836,,,,
86.7387,82.9226,9.50742,320.003,549.947,549.835,,,,
86.822,83.0059,9.50919,320.003,549.863,549.94,,,,
86.9054,83.0892,9.5115,320.001,549.945,549.973,,,,
86.9887,83.1726,9.50968,319.995,549.913,549.999,,,,
87.072,83.2559,9.50685,320.003,550.009,549.912,,,,
87.1554,83.3392,9.50887,320.005,549.924,549.923,,,,
87.2387,83.4226,9.51437,320.001,550.024,550.077,,,,
87.322,83.5059,9.51518,320.003,550.036,550.062,,,,
87.4054,83.5892,9.51092,320.003,549.991,549.944,,,,
87.4887,83.6726,9.50931,320.01,550.009,549.909,,,,
87.572,83.7559,9.51522,320,549.949,550.006,,,,
87.6554,83.8392,9.52217,320.001,549.948,550.027,,,,
87.7387,83.9226,9.50866,320.003,549.862,549.949,,,,
87.822,84.0059,9.51254,319.999,549.951,549.833,,,,
87.9054,84.0892,9.51053,320.006,549.864,549.827,,,,
87.9887,84.1726,9.51386,320.006,549.873,549.915,,,,
88.072,84.2559,9.50695,319.996,549.807,549.942,,,,
88.1554,84.3392,9.50948,320.008,549.841,549.741,,,,
88.2387,84.4226,9.50786,320.007,549.828,549.835,,,,
88.322,84.5059,9.5164,319.997,549.808,549.902,,,,
88.4054,84.5892,9.51667,320.009,549.8,549.898,,,,
88.4887,84.6726,9.51229,320.001,549.846,549.815,,,,
88.572,84.7559,9.50965,320.003,549.896,549.806,,,,
88.6554,84.8392,9.51956,319.997,549.832,549.894,,,,
88.7387,84.9226,9.5125,319.998,549.936,549.975,,,,
88.822,85.0059,9.51344,319.999,549.949,549.913,,,,
88.9054,85.0892,9.51134,319.999,549.933,549.839,,,,
88.9887,85.1726,9.5221,320.01,549.899,549.951,,,,
89.072,85.2559,9.5158,320.005,549.884,549.915,,,,
89.1554,85.3392,9.51223,319.996,549.92,549.996,,,,
89.2387,85.4226,9.51224,320.012,549.974,549.87,,,,
89.322,85.5059,9.51501,320.005,549.868,549.876,,,,
89.4054,85.5892,9.51907,319.998,549.921,549.948,,,,
89.4887,85.6726,9.51457,319.995,549.924,550.008,,,,
89.572,85.7559,9.51153,320.009,549.947,549.87,,,,
89.6554,85.8392,9.5118,320.002,549.945,549.834,,,,
89.7387,85.9226,9.51764,320.006,549.881,549.907,,,,
89.822,86.0059,9.51779,320.003,549.897,549.947,,,,
89.9054,86.0892,9.51336,320.008,549.93,549.996,,,,
89.9887,86.1726,9.51393,320.006,549.983,549.883,,,,
90.072,86.2559,9.51908,320.006,549.923,549.947,,,,
90.1554,86.3392,9.51651,320.012,549.951,550.004,,,,
90.2387,86.4226,9.51122,320.005,549.97,550.034,,,,
90.322,86.5059,9.51264,320,549.992,549.938,,,,
90.4054,86.5892,9.51722,320.002,549.99,549.91,,,,
90.4887,86.6726,9.51509,319.997,549.956,549.969,,,,
90.572,86.7559,9.52131,320.003,549.928,550.017,,,,
90.6554,86.8392,9.51682,319.998,549.919,549.867,,,,
90.7387,86.9226,9.51564,320.002,549.925,549.832,,,,
90.822,87.0059,9.51445,319.992,549.861,549.916,,,,
90.9054,87.0892,9.51381,320.006,549.847,549.926,,,,
90.9887,87.1726,9.51801,319.997,549.898,549.9,,,,
91.072,87.2559,9.51439,319.997,549.957,549.847,,,,
91.1554,87.3392,9.51538,319.999,549.908,549.925,,,,
91.2387,87.4226,9.51517,320.004,549.88,549.925,,,,
91.322,87.5059,9.51954,320.003,549.862,549.946,,,,
91.4054,87.5892,9.51473,319.998,549.933,549.847,,,,
91.4887,87.6726,9.51385,320.001,549.908,549.881,,,,
91.572,87.7559,9.52574,320.001,549.903,549.952,,,,
91.6554,87.8392,9.51191,320.013,549.882,549.92,,,,
91.7387,87.9226,9.5167,320.005,549.949,549.871,,,,
91.822,88.0059,9.51141,319.998,549.951,549.884,,,,
91.9054,88.0892,9.51855,320.005,549.838,549.923,,,,
91.9887,88.1726,9.5139,319.999,549.88,549.895,,,,
92.072,88.2559,9.51567,320.005,549.898,549.839,,,,
92.1554,88.3392,9.51756,320.003,549.938,549.831,,,,
92.2387,88.4226,9.52055,319.988,549.87,549.943,,,,
92.322,88.5059,9.51765,320.005,549.792,549.867,,,,
92.4054,88.5892,9.51557,319.995,549.846,549.87,,,,
92.4887,88.6726,9.51186,320.001,549.83,549.741,,,,
92.572,88.7559,9.52032,320.004,549.704,549.732,,,,
92.6554,88.8392,9.5152,320.005,549.784,549.834,,,,
92.7387,88.9226,9.51814,320.01,549.779,549.815,,,,
92.822,89.0059,9.51684,320.007,549.897,549.817,,,,
92.9054,89.0892,9.51403,319.999,549.817,549.774,,,,
92.9887,89.1726,9.51685,320.001,549.927,549.945,,,,
93.072,89.2559,9.51714,320.004,549.941,549.976,,,,
93.1554,89.3392,9.51672,320.005,550.059,549.978,,,,
93.2387,89.4226,9.51382,320.004,550.01,550.021,,,,
93.322,89.5059,9.51817,320.004,549.941,550,,,,
93.4054,89.5892,9.51873,319.999,549.972,549.874,,,,
93.4887,89.6726,9.51309,320.006,549.908,549.785,,,,
93.572,89.7559,9.51762,320.001,549.758,549.837,,,,
93.6554,89.8392,9.51682,320.003,549.794,549.854,,,,
93.7387,89.9226,9.51589,320.015,549.877,549.78,,,,
93.822,90.0059,9.5195,320.003,549.81,549.818,,,,
93.9054,90.0892,9.5187,320.007,549.78,549.834,,,,
93.9887,90.1726,9.51698,320.007,549.918,549.846,,,,
94.072,90.2559,9.51351,320.001,549.9,549.785,,,,
94.1554,90.3392,9.52165,319.999,549.932,549.974,,,,
94.2387,90.4226,9.51938,320.001,549.911,549.964,,,,
94.322,90.5059,9.51567,320.004,550.001,549.911,,,,
94.4054,90.5892,9.51783,320.008,549.864,549.891,,,,
94.4887,90.6726,9.52284,319.998,550.017,550.078,,,,
94.572,90.7559,9.51686,320.013,549.983,550.029,,,,
94.6554,90.8392,9.51416,319.999,550.026,549.921,,,,
94.7387,90.9226,9.51992,319.998,549.937,549.97,,,,
94.822,91.0059,9.5181,320.007,549.973,550.06,,,,
94.9054,91.0892,9.51684,319.998,549.941,549.848,,,,
94.9887,91.1726,9.51543,320.004,549.825,549.862,,,,
95.072,91.2559,9.52323,320.01,549.851,549.912,,,,
95.1554,91.3392,9.518,320.001,549.891,549.871,,,,
95.2387,91.4226,9.51029,320,549.879,549.781,,,,
95.322,91.5059,9.51522,320.001,549.75,549.739,,,,
95.4054,91.5892,9.51574,320.005,549.859,549.871,,,,
95.4887,91.6726,9.51218,320.004,549.82,549.704,,,,
95.572,91.7559,9.51172,320.002,549.814,549.758,,,,
95.6554,91.8392,9.51794,320.002,549.743,549.802,,,,
95.7387,91.9226,9.51382,319.997,549.862,549.814,,,,
95.822,92.0059,9.5145,320,549.816,549.717,,,,
95.9054,92.0892,9.51631,320.004,549.896,549.984,,,,
95.9887,92.1726,9.52225,319.996,549.999,549.965,,,,
96.072,92.2559,9.51523,320.015,549.979,549.914,,,,
96.1554,92.3392,9.51033,320.003,549.861,549.927,,,,
96.2387,92.4226,9.51245,320.012,550.046,550.034,,,,
96.322,92.5059,9.51592,320.012,550.009,549.935,,,,
96.4054,92.5892,9.51106,320.006,549.903,549.929,,,,
96.4887,92.6726,9.51861,320.002,550.026,550.03,,,,
96.572,92.7559,9.509,320.007,549.963,549.907,,,,
96.6554,92.8392,9.5147,319.997,549.9,549.921,,,,
96.7387,92.9226,9.51745,319.997,549.875,549.983,,,,
96.822,93.0059,9.50946,319.995,549.905,549.865,,,,
96.9054,93.0892,9.50981,319.996,549.917,549.86,,,,
96.9887,93.1726,9.51029,320.005,549.86,549.823,,,,
97.072,93.2559,9.51371,320.001,549.801,549.913,,,,
97.1554,93.3392,9.51412,319.999,549.882,549.862,,,,
97.2387,93.4226,9.51051,320.008,549.848,549.818,,,,
97.322,93.5059,9.51124,320.01,549.802,549.796,,,,
97.4054,93.5892,9.51115,320.002,549.877,549.882,,,,
97.4887,93.6726,9.50631,320.005,549.817,549.747,,,,
97.572,93.7559,9.50483,320.004,549.807,549.717,,,,
97.6554,93.8392,9.50946,320.004,549.768,549.787,,,,
97.7387,93.9226,9.51151,320.003,549.822,549.904,,,,
97.822,94.0059,9.5096,319.998,549.891,549.85,,,,
97.9054,94.0892,9.50809,320.002,549.842,549.759,,,,
97.9887,94.1726,9.51496,320.005,549.828,549.828,,,,
98.072,94.2559,9.51014,319.998,549.957,550.018,,,,
98.1554,94.3392,9.5119,320.002,549.977,549.933,,,,
98.2387,94.4226,9.50814,320.008,549.954,549.858,,,,
98.322,94.5059,9.51391,320.007,549.836,549.833,,,,
98.4054,94.5892,9.50881,320.011,549.907,549.958,,,,
98.4887,94.6726,9.51059,319.996,549.983,549.891,,,,
98.572,94.7559,9.51138,319.997,549.968,549.894,,,,
98.6554,94.8392,9.51398,320.006,549.964,550.002,,,,
98.7387,94.9226,9.51266,320.001,550.053,549.979,,,,
98.822,95.0059,9.51183,319.996,550.024,549.883,,,,
98.9054,95.0892,9.51616,320.003,549.93,549.959,,,,
98.9887,95.1726,9.51459,320.006,549.856,549.97,,,,
99.072,95.2559,9.51039,320.014,549.991,549.874,,,,
99.1554,95.3392,9.51375,320.003,549.976,549.882,,,,
99.2387,95.4226,9.51439,320.004,549.922,550.001,,,,
