Date/Clock time,45695.4,,,,,,,,
Tester,"Arik, Cameron",,,,,,,,
Specimen designation,316H-elg_320MPa_550C_02,,,,,,,,
Diameter,6.0475,mm,,,,,,,
Material,316H-elg,,,,,,,,
Load cell,100kN,,,,,,,,
Extensometer,Epsilon 3549 SN102121 GL25mm,,,,,,,,
"Gage length, standard travel",25,mm,,,,,,,
Test standard,ASTM E136,,,,,,,,
Machine data,ZwickRoell Kappa100 SS-CF,,,,,,,,
Time,Test time,Standard travel,Standard force,Temperature,Temperature 3,,,,
h,h,%,MPa,°C,°C,,,,
3.81823,0.00209444,0.0297787,26.7873,550.042,550.317,,,,
3.81826,0.00212222,0.0302931,27.1588,550.042,550.317,,,,
3.81829,0.00215,0.03043,27.5417,550.042,550.326,,,,
3.81831,0.00217778,0.0305483,27.9228,550.042,550.326,,,,
3.81834,0.00220278,0.0311111,28.2776,550.042,550.326,,,,
3.81836,0.00222778,0.0311602,28.6271,550.039,550.326,,,,
3.81839,0.00225278,0.031377,28.9913,550.039,550.326,,,,
3.81841,0.00227778,0.0318558,29.3719,550.039,550.326,,,,
3.81844,0.00230278,0.0318502,29.7489,550.039,550.326,,,,
3.81846,0.00232778,0.0321946,30.1299,550.039,550.326,,,,
3.81849,0.00235278,0.0326857,30.512,550.039,550.326,,,,
3.81851,0.00237778,0.0326347,30.8987,550.039,550.326,,,,
3.81854,0.0024,0.0328264,31.2532,550.039,550.326,,,,
3.81856,0.002425,0.0332346,31.641,550.039,550.329,,,,
3.81859,0.00245,0.0336406,32.0229,550.039,550.329,,,,
3.81861,0.002475,0.0337442,32.4126,550.039,550.329,,,,
3.81864,0.0025,0.0342185,32.7999,550.04,550.329,,,,
3.81866,0.00252222,0.0344932,33.1514,550.04,550.329,,,,
3.81868,0.00254444,0.0347932,33.5091,550.04,550.329,,,,
3.8187,0.00256667,0.0350095,33.8686,550.04,550.329,,,,
3.81872,0.00258889,0.0352842,34.2327,550.04,550.329,,,,
3.81875,0.00261111,0.035515,34.5817,550.04,550.329,,,,
3.81877,0.00263333,0.0357142,34.9405,550.04,550.329,,,,
3.81879,0.00265556,0.0358415,35.3061,550.04,550.329,,,,
3.81881,0.00267778,0.0360164,35.6731,550.04,550.332,,,,
3.81884,0.0027,0.0361662,36.0399,550.04,550.332,,,,
3.81886,0.00272222,0.0362932,36.4061,550.04,550.332,,,,
3.81888,0.00274444,0.0364304,36.7792,550.04,550.332,,,,
3.8189,0.00276667,0.0366167,37.1486,550.04,550.332,,,,
3.81892,0.00278889,0.0368015,37.518,550.043,550.332,,,,
3.81895,0.00281111,0.0370094,37.8824,550.043,550.332,,,,
3.81897,0.00283333,0.0371296,38.2594,550.043,550.332,,,,
3.81899,0.00285556,0.0372058,38.6254,550.043,550.332,,,,
3.81901,0.00287778,0.0373688,38.9976,550.043,550.332,,,,
3.81904,0.0029,0.0375207,39.3753,550.043,550.332,,,,
3.81906,0.00292222,0.0375922,39.7589,550.043,550.332,,,,
3.81908,0.00294444,0.0378055,40.1472,550.043,550.332,,,,
3.8191,0.00296389,0.0378734,40.5002,550.043,550.332,,,,
3.81912,0.00298333,0.0381424,40.8493,550.043,550.338,,,,
3.81914,0.00300278,0.0382785,41.1993,550.043,550.338,,,,
3.81916,0.00302222,0.0384416,41.5581,550.043,550.338,,,,
3.81918,0.00304167,0.0386839,41.9168,550.043,550.338,,,,
3.8192,0.00306111,0.0387823,42.2768,550.047,550.338,,,,
3.81922,0.00308056,0.0389983,42.6499,550.047,550.338,,,,
3.81924,0.0031,0.039238,43.0126,550.047,550.338,,,,
3.81926,0.00311944,0.0394577,43.3797,550.047,550.338,,,,
3.81927,0.00313889,0.0397336,43.7503,550.047,550.338,,,,
3.81929,0.00315833,0.0399512,44.1257,550.047,550.338,,,,
3.81931,0.00317778,0.0401454,44.5041,550.047,550.338,,,,
3.81933,0.00319722,0.040332,44.8772,550.047,550.338,,,,
3.81935,0.00321667,0.0404099,45.2444,550.047,550.338,,,,
3.81937,0.00323611,0.0406504,45.6206,550.047,550.338,,,,
3.81939,0.00325556,0.0408357,45.9822,550.047,550.338,,,,
3.81941,0.003275,0.0410365,46.3626,550.047,550.346,,,,
3.81943,0.00329444,0.0412896,46.7455,550.047,550.346,,,,
3.81945,0.00331389,0.0414842,47.117,550.047,550.346,,,,
3.81947,0.00333333,0.0416767,47.4948,550.047,550.346,,,,
3.81949,0.00335278,0.0419408,47.8886,550.04,550.346,,,,
3.81951,0.00337222,0.041982,48.2787,550.04,550.346,,,,
3.81953,0.00339167,0.0422793,48.671,550.04,550.346,,,,
3.81955,0.00341111,0.0424258,49.0515,550.04,550.346,,,,
3.81957,0.00343056,0.0425845,49.4394,550.04,550.346,,,,
3.81959,0.00345,0.0428116,49.8356,550.04,550.346,,,,
3.81961,0.00346944,0.0428808,50.2326,550.04,550.346,,,,
3.81962,0.00348889,0.0431241,50.6257,550.04,550.346,,,,
3.81964,0.00350833,0.0432607,51.0035,550.04,550.346,,,,
3.81966,0.00352778,0.0433863,51.3976,550.04,550.346,,,,
3.81968,0.00354722,0.0436415,51.7964,550.04,550.323,,,,
3.8197,0.00356667,0.0437642,52.1977,550.04,550.323,,,,
3.81972,0.00358611,0.0440245,52.5983,550.04,550.323,,,,
3.81974,0.00360556,0.0441682,52.9939,550.04,550.323,,,,
3.81976,0.003625,0.0443341,53.3884,550.038,550.323,,,,
3.81978,0.00364444,0.0445731,53.7764,550.038,550.323,,,,
3.8198,0.00366389,0.0447118,54.1627,550.038,550.323,,,,
3.81982,0.00368333,0.0450613,54.5632,550.038,550.323,,,,
3.81984,0.00370278,0.0452075,54.9658,550.038,550.323,,,,
3.81986,0.00372222,0.0453913,55.363,550.038,550.323,,,,
3.81988,0.00374167,0.0456215,55.7554,550.038,550.323,,,,
3.8199,0.00376111,0.0458872,56.1509,550.038,550.323,,,,
3.81992,0.00378056,0.0460467,56.5509,550.038,550.323,,,,
3.81994,0.0038,0.0463822,56.9493,550.038,550.323,,,,
3.81996,0.00381944,0.0465521,57.3505,550.038,550.332,,,,
3.81997,0.00383889,0.0468194,57.7529,550.038,550.332,,,,
3.81999,0.00385833,0.0469715,58.1481,550.038,550.332,,,,
3.82001,0.00387778,0.047088,58.5534,550.038,550.332,,,,
3.82003,0.00389444,0.047288,58.9054,550.038,550.332,,,,
3.82005,0.00391389,0.0473901,59.3093,550.034,550.332,,,,
3.82007,0.00393333,0.0476424,59.713,550.034,550.332,,,,
3.82009,0.00395278,0.0477409,60.1071,550.034,550.332,,,,
3.82011,0.00397222,0.0480036,60.5104,550.034,550.332,,,,
3.82012,0.00398889,0.0481673,60.8653,550.034,550.332,,,,
3.82014,0.00400833,0.0484407,61.2616,550.034,550.332,,,,
3.82016,0.00402778,0.0485638,61.6441,550.034,550.332,,,,
3.82018,0.00404722,0.0487833,62.0262,550.034,550.332,,,,
3.8202,0.00406667,0.049004,62.4127,550.034,550.332,,,,
3.82022,0.00408611,0.0491772,62.8025,550.034,550.326,,,,
3.82024,0.00410556,0.0494194,63.2051,550.034,550.326,,,,
3.82026,0.004125,0.0495256,63.6031,550.034,550.326,,,,
3.82028,0.00414444,0.0496928,64.0026,550.034,550.326,,,,
3.8203,0.00416389,0.0498878,64.3995,550.034,550.326,,,,
3.82032,0.00418333,0.050036,64.7948,550.032,550.326,,,,
3.82034,0.00420278,0.0502728,65.1928,550.032,550.326,,,,
3.82036,0.00422222,0.0505002,65.5867,550.032,550.326,,,,
3.82037,0.00423889,0.0507059,65.936,550.032,550.326,,,,
3.82039,0.00425556,0.0509002,66.2868,550.032,550.326,,,,
3.82041,0.004275,0.0511747,66.6827,550.032,550.326,,,,
3.82043,0.00429444,0.0513991,67.0822,550.032,550.326,,,,
3.82045,0.00431389,0.0515992,67.4803,550.032,550.326,,,,
3.82047,0.00433333,0.051831,67.8811,550.032,550.326,,,,
3.82049,0.00435278,0.052028,68.2832,550.032,550.326,,,,
3.82051,0.00437222,0.0522922,68.6816,550.032,550.334,,,,
3.82053,0.00439167,0.0524361,69.0862,550.032,550.334,,,,
3.82055,0.00441111,0.0525162,69.4843,550.032,550.334,,,,
3.82057,0.00443056,0.0527834,69.8784,550.032,550.334,,,,
3.82059,0.00445,0.0529041,70.2712,550.041,550.334,,,,
3.82061,0.00446944,0.0530729,70.6683,550.041,550.334,,,,
3.82062,0.00448889,0.0533667,71.0613,550.041,550.334,,,,
3.82064,0.00450833,0.0534216,71.4449,550.041,550.334,,,,
3.82066,0.00452778,0.0536306,71.8356,550.041,550.334,,,,
3.82068,0.00454722,0.0539181,72.2284,550.041,550.334,,,,
3.8207,0.00456667,0.0539858,72.6231,550.041,550.334,,,,
3.82072,0.00458611,0.054258,73.0127,550.041,550.334,,,,
3.82074,0.00460556,0.0544044,73.3984,550.041,550.334,,,,
3.82076,0.004625,0.0545614,73.7873,550.041,550.334,,,,
3.82078,0.00464444,0.054914,74.1796,550.041,550.338,,,,
3.8208,0.00466389,0.0550853,74.5781,550.041,550.338,,,,
3.82082,0.00468056,0.0553869,74.9282,550.041,550.338,,,,
3.82084,0.0047,0.0555853,75.3143,550.041,550.338,,,,
3.82086,0.00471944,0.05593,75.7127,550.041,550.338,,,,
3.82087,0.00473889,0.0562137,76.1038,550.034,550.338,,,,
3.82089,0.00475833,0.0564602,76.5007,550.034,550.338,,,,
3.82091,0.00477778,0.0568806,76.8947,550.034,550.338,,,,
3.82093,0.00479722,0.0570099,77.2954,550.034,550.338,,,,
3.82095,0.00481667,0.0572889,77.684,550.034,550.338,,,,
3.82097,0.00483611,0.057606,78.0659,550.034,550.338,,,,
3.82099,0.00485556,0.0578239,78.4514,550.034,550.338,,,,
3.82101,0.004875,0.0581413,78.835,550.034,550.338,,,,
3.82103,0.00489444,0.0584497,79.2179,550.034,550.338,,,,
3.82105,0.00491389,0.0586585,79.6046,550.034,550.333,,,,
3.82107,0.00493333,0.0589742,79.9875,550.034,550.333,,,,
3.82109,0.00495278,0.0591835,80.3763,550.034,550.333,,,,
3.82111,0.00497222,0.0594038,80.7591,550.034,550.333,,,,
3.82113,0.00499167,0.0597205,81.1404,550.034,550.333,,,,
3.82115,0.00501111,0.0598694,81.537,550.036,550.333,,,,
3.82117,0.00503056,0.0601468,81.928,550.036,550.333,,,,
3.82119,0.00505,0.0603746,82.3105,550.036,550.333,,,,
3.82121,0.00506944,0.0605673,82.6938,550.036,550.333,,,,
3.82122,0.00508889,0.0608652,83.0806,550.036,550.333,,,,
3.82124,0.00510833,0.060945,83.4653,550.036,550.333,,,,
3.82126,0.00512778,0.0612488,83.8516,550.036,550.333,,,,
3.82128,0.00514722,0.0614735,84.2321,550.036,550.333,,,,
3.8213,0.00516667,0.0615616,84.6148,550.036,550.333,,,,
3.82132,0.00518611,0.0619014,84.9948,550.036,550.321,,,,
3.82134,0.00520556,0.0620261,85.3741,550.036,550.321,,,,
3.82136,0.005225,0.0622564,85.7503,550.036,550.321,,,,
3.82138,0.00524444,0.0625523,86.1251,550.036,550.321,,,,
3.8214,0.00526389,0.062665,86.4922,550.036,550.321,,,,
3.82142,0.00528333,0.0629492,86.8576,550.035,550.321,,,,
3.82144,0.00530278,0.0631649,87.2274,550.035,550.321,,,,
3.82146,0.00532222,0.0632273,87.5964,550.035,550.321,,,,
3.82148,0.00534167,0.0635473,87.9578,550.035,550.321,,,,
3.8215,0.00536111,0.0636708,88.3389,550.035,550.321,,,,
3.82152,0.00538056,0.063889,88.7048,550.035,550.321,,,,
3.82154,0.0054,0.0641966,89.0694,550.035,550.321,,,,
3.82156,0.00541944,0.0642818,89.4369,550.035,550.321,,,,
3.82157,0.00543889,0.0646963,89.8044,550.035,550.321,,,,
3.82159,0.00545833,0.064948,90.1797,550.035,550.329,,,,
3.82161,0.00547778,0.0650922,90.5483,550.035,550.329,,,,
3.82163,0.00549722,0.0654737,90.905,550.035,550.329,,,,
3.82165,0.00551667,0.0656465,91.2746,550.035,550.329,,,,
3.82167,0.00553611,0.0658686,91.6452,550.035,550.329,,,,
3.82169,0.00555556,0.0661964,92.0192,550.034,550.329,,,,
3.82171,0.005575,0.0662289,92.387,550.034,550.329,,,,
3.82173,0.00559444,0.0666041,92.7497,550.034,550.329,,,,
3.82175,0.00561389,0.0668059,93.1089,550.034,550.329,,,,
3.82177,0.00563333,0.067088,93.4668,550.034,550.329,,,,
3.82179,0.00565278,0.0675672,93.8182,550.034,550.329,,,,
3.82181,0.005675,0.067803,94.2134,550.034,550.329,,,,
3.82183,0.00569722,0.0681209,94.6085,550.034,550.329,,,,
3.82185,0.00571667,0.0682056,94.9583,550.034,550.329,,,,
3.82187,0.00573889,0.0685049,95.3478,550.034,550.32,,,,
3.8219,0.00576111,0.0689109,95.7294,550.034,550.32,,,,
3.82192,0.00578333,0.0692514,96.124,550.034,550.32,,,,
3.82194,0.00580556,0.0696015,96.5173,550.034,550.32,,,,
3.82196,0.00582778,0.0699705,96.9083,550.032,550.32,,,,
3.82199,0.00585,0.0703318,97.297,550.032,550.32,,,,
3.82201,0.00586944,0.0708359,97.6465,550.032,550.32,,,,
3.82203,0.00589167,0.0712299,98.0348,550.032,550.32,,,,
3.82205,0.00591389,0.0715708,98.4256,550.032,550.32,,,,
3.82207,0.00593611,0.0719323,98.8096,550.032,550.32,,,,
3.82209,0.00595833,0.0721997,99.192,550.032,550.32,,,,
3.82212,0.00598056,0.072524,99.5801,550.032,550.32,,,,
3.82214,0.00600278,0.0728953,99.9602,550.032,550.32,,,,
3.82216,0.006025,0.0732605,100.337,550.032,550.32,,,,
3.82218,0.00604722,0.0737043,100.703,550.032,550.323,,,,
3.82221,0.00606944,0.0741759,101.069,550.032,550.323,,,,
3.82223,0.00609167,0.0747465,101.436,550.032,550.323,,,,
3.82225,0.00611389,0.0752388,101.792,550.032,550.323,,,,
3.82227,0.00613611,0.0757648,102.143,550.032,550.323,,,,
3.8223,0.00616111,0.0762012,102.532,550.032,550.323,,,,
3.82232,0.00618333,0.0767052,102.882,550.032,550.323,,,,
3.82234,0.00620556,0.0772389,103.246,550.032,550.323,,,,
3.82237,0.00623056,0.0777194,103.629,550.032,550.323,,,,
3.82239,0.00625556,0.0783476,104.016,550.032,550.323,,,,
3.82241,0.00627778,0.0788211,104.367,550.032,550.323,,,,
3.82244,0.00630278,0.0793027,104.735,550.032,550.323,,,,
3.82246,0.00632778,0.0799955,105.109,550.032,550.318,,,,
3.82249,0.00635278,0.0805149,105.483,550.032,550.318,,,,
3.82251,0.00637778,0.0811782,105.854,550.032,550.318,,,,
3.82254,0.00640278,0.0819148,106.214,550.032,550.318,,,,
3.82256,0.00642778,0.0823639,106.571,550.02,550.318,,,,
3.82259,0.00645556,0.0831799,106.947,550.02,550.318,,,,
3.82262,0.00648333,0.0839539,107.321,550.02,550.318,,,,
3.82265,0.00651111,0.0844836,107.684,550.02,550.318,,,,
3.82267,0.00653889,0.0851167,108.051,550.02,550.318,,,,
3.8227,0.00656667,0.0858105,108.41,550.02,550.318,,,,
3.82273,0.00659444,0.0864702,108.775,550.02,550.317,,,,
3.82276,0.00662222,0.0871194,109.131,550.02,550.317,,,,
3.82279,0.00665278,0.0879045,109.512,550.02,550.317,,,,
3.82282,0.00668333,0.0887136,109.893,550.017,550.317,,,,
3.82285,0.00671389,0.0896381,110.253,550.017,550.317,,,,
3.82288,0.00674444,0.0904147,110.626,550.017,550.317,,,,
3.82291,0.00677778,0.0914402,111.004,550.017,550.317,,,,
3.82295,0.00681111,0.0925131,111.373,550.017,550.317,,,,
3.82298,0.00684444,0.0936465,111.737,550.017,550.317,,,,
3.82301,0.00687778,0.094911,112.086,550.017,550.318,,,,
3.82305,0.00691389,0.0962302,112.443,550.017,550.318,,,,
3.82309,0.00695,0.0976309,112.801,550.017,550.318,,,,
3.82312,0.00698889,0.0989987,113.17,550.016,550.318,,,,
3.82316,0.007025,0.100327,113.518,550.016,550.318,,,,
3.8232,0.00706389,0.101791,113.869,550.016,550.318,,,,
3.82324,0.00710278,0.103179,114.221,550.016,550.318,,,,
3.82328,0.00714722,0.104813,114.591,550.016,550.318,,,,
3.82332,0.00718889,0.106435,114.941,550.016,550.318,,,,
3.82337,0.00723333,0.108069,115.297,550.019,550.318,,,,
3.82342,0.00728056,0.109703,115.66,550.019,550.318,,,,
3.82347,0.00733056,0.111697,116.019,550.019,550.318,,,,
3.82351,0.00737778,0.113335,116.372,550.019,550.318,,,,
3.82356,0.00742222,0.115005,116.724,550.019,550.316,,,,
3.82361,0.00746944,0.116854,117.079,550.019,550.316,,,,
3.82365,0.00751667,0.118565,117.44,550.007,550.316,,,,
3.8237,0.00756389,0.12033,117.789,550.007,550.316,,,,
3.82375,0.00761389,0.122096,118.145,550.007,550.316,,,,
3.8238,0.00766389,0.124087,118.497,550.007,550.316,,,,
3.82385,0.00771667,0.12602,118.853,550.007,550.325,,,,
3.82391,0.00776944,0.128084,119.212,550.007,550.325,,,,
3.82396,0.00781944,0.130125,119.565,550.007,550.325,,,,
3.82401,0.00786944,0.131983,119.917,550.007,550.325,,,,
3.82406,0.00792222,0.134047,120.269,550.007,550.325,,,,
3.82411,0.00797222,0.135945,120.622,550.007,550.33,,,,
3.82416,0.008025,0.138013,120.986,550.007,550.33,,,,
3.82421,0.00807778,0.140156,121.336,550.01,550.33,,,,
3.82427,0.00813611,0.142435,121.693,550.01,550.33,,,,
3.82433,0.00819167,0.144773,122.052,550.01,550.33,,,,
3.82438,0.00824444,0.146821,122.4,550.01,550.307,,,,
3.82444,0.0083,0.14901,122.765,550.01,550.307,,,,
3.82449,0.00835556,0.15115,123.126,550.01,550.307,,,,
3.82455,0.00841111,0.153189,123.484,550.007,550.307,,,,
3.82461,0.00846944,0.155392,123.849,550.007,550.307,,,,
