Time,Strain
411.6302795,0.010228301
412.1307678,0.010288191
412.6813049,0.010354281
413.2868958,0.010427275
413.953064,0.010508163
414.6858215,0.010597295
415.4918518,0.01069661
415.7135315,0.010723499
415.9573669,0.010753437
416.2255554,0.010786302
416.5205994,0.010822719
416.8451233,0.010862716
417.2021179,0.010907047
417.5948181,0.010955862
418.0267639,0.011009818
418.5019226,0.011069157
419.0245667,0.011134956
419.5995178,0.011207625
420.2319336,0.01128781
420.9276123,0.011376304
421.6928406,0.011474351
422.5346069,0.011582734
423.4605408,0.011702793
424.4790649,0.011835277
425.5994568,0.011983518
426.8318787,0.012143922
427.5097046,0.012234136
428.0180664,0.012302384
428.5264587,0.0123705
429.0856628,0.012445808
429.7007751,0.012528548
430.3774414,0.012620651
430.5635071,0.012645513
430.7681885,0.012673259
430.9933472,0.012703789
431.2410278,0.012737279
431.5134583,0.012774381
431.8131409,0.012815334
432.1427917,0.012860318
432.5054016,0.012909872
432.9042664,0.012964692
433.3430176,0.013025188
433.8256531,0.013091837
434.3565674,0.01316541
434.9405518,0.013246745
435.5829468,0.013336213
436.2895813,0.013435253
437.066864,0.013544607
437.921875,0.013665586
438.8623962,0.013799328
439.8969727,0.013947078
441.0350037,0.014110965
442.2868347,0.014292064
443.6638794,0.014493462
444.4212341,0.014602957
444.6294861,0.014633456
444.8586121,0.014667057
445.1106262,0.014703975
445.3878174,0.014744716
445.692749,0.014789705
446.0281982,0.014839103
446.3971558,0.014893774
446.8030396,0.014953701
447.2494812,0.015020138
447.7405701,0.015093323
448.2807922,0.015173956
448.8750305,0.015263038
449.5286865,0.015361255
450.2476807,0.015469607
451.0386047,0.015589561
451.9086304,0.0157219
452.8656311,0.015868183
453.9183655,0.01602984
455.0763245,0.016208656
456.3501282,0.016406288
457.7512817,0.016626447
457.9439392,0.016656013
458.1558838,0.016688857
458.3890076,0.01672505
458.6454163,0.01676512
458.9274902,0.0168093
459.237793,0.016857844
459.5791016,0.016911598
459.9545288,0.016970681
460.3675232,0.017035935
460.8218079,0.017107904
461.3215027,0.01718726
461.8711853,0.017274775
462.4758301,0.017371483
463.1409607,0.017477976
463.8725891,0.017595742
464.6773682,0.017725471
465.5626221,0.017868903
466.536438,0.018027393
467.607605,0.01820221
468.7858887,0.018395726
470.0820007,0.018609617
471.5077515,0.018846739
473.0760498,0.019108554
473.5073242,0.019180443
473.9817505,0.01925955
474.5036011,0.019347021
475.0776367,0.0194436
475.7090759,0.019550422
476.403656,0.01966816
477.1677246,0.019797936
478.0081787,0.019941298
478.9326477,0.020099528
479.9496155,0.020274024
480.2292786,0.020321969
480.5368958,0.020374889
480.8752747,0.020433001
481.2474976,0.02049732
481.6569519,0.020568093
482.1073608,0.020646123
482.6027832,0.020732272
483.1477661,0.020826776
483.7472534,0.020931406
484.4066772,0.0210467
485.132019,0.021174023
485.9299316,0.021314394
486.8076172,0.021469027
487.7731018,0.021640198
488.835083,0.021828895
490.0032959,0.022037698
490.3245544,0.022094812
490.677948,0.022158071
491.0666809,0.022227455
491.4942627,0.022304123
491.9646301,0.02238854
492.4819946,0.022481939
493.0511169,0.022584565
493.6771851,0.02269786
494.3658142,0.022822825
495.1233215,0.022960875
495.9565735,0.023112807
496.8731689,0.023280701
497.8814087,0.023465633
498.9904785,0.023671417
499.2954712,0.023727121
499.6309509,0.023788845
500,0.023856737
500.4059448,0.023932105
500.8525085,0.024014896
501.343689,0.024106098
501.8840027,0.024207046
502.478363,0.024317892
503.1321411,0.024440115
503.8512878,0.024575245
504.6423645,0.024723835
505.5125427,0.024888158
506.4697571,0.025069127
507.5226746,0.025269829
508.6808777,0.025490036
508.9993896,0.025550703
509.349762,0.02561749
509.7351379,0.02569137
510.1590881,0.02577224
510.6253967,0.025862042
511.1383667,0.025960464
511.7026367,0.026069362
512.3233032,0.026188968
513.0060425,0.026321311
513.7570801,0.02646707
514.5831909,0.02662777
515.4919434,0.026805365
516.4915771,0.027001012
517.5911865,0.027217088
518.8007202,0.027455248
519.1333008,0.027520761
519.4992065,0.02759302
519.9016724,0.027672319
520.3444214,0.027760124
520.8313599,0.027856598
521.3670654,0.027963242
521.9563599,0.028080367
522.6045532,0.028209815
523.3175049,0.028352411
524.1018066,0.028509881
524.9645996,0.028683053
525.9135742,0.028874898
526.9575195,0.029085696
527.2445679,0.029143849
527.5603638,0.029207828
527.9077148,0.029278202
528.2897949,0.029355314
528.710144,0.029441113
529.1724854,0.029534739
529.6810303,0.029638849
530.2404785,0.029753163
530.855835,0.02987887
531.5327148,0.030017953
532.2773438,0.030171063
533.0963745,0.030339919
533.9973755,0.030526215
534.9884033,0.030731592
536.0786133,0.030958408
537.277771,0.031208996
538.5968628,0.031485401
540.0479126,0.031790845
540.8459473,0.031958815
541.644043,0.03212744
542.4420776,0.032296039
543.3199463,0.03248274
544.2855835,0.032687422
544.5511475,0.032743845
544.8432617,0.032806356
545.1645508,0.032875054
545.5180054,0.03295026
545.9067993,0.033033464
546.3345337,0.033125259
546.8049316,0.033226155
547.3224487,0.03333753
547.8916626,0.033459686
548.5178223,0.03359447
549.206604,0.033743706
549.9642944,0.033907652
550.7976685,0.0340885
551.7144775,0.034287959
552.7229004,0.034508202
553.8322144,0.034750458
555.0524292,0.035018869
556.3946533,0.035313942
557.1328735,0.035476655
557.9448853,0.035656277
558.756958,0.035836469
559.5690308,0.036017124
560.4622803,0.03621614
561.4448853,0.036435388
561.7150879,0.036495656
562.0123291,0.036562189
562.3392334,0.036634807
562.6989136,0.03671591
563.0945435,0.036804259
563.5297241,0.036902346
564.0083618,0.037009366
564.5349731,0.037128199
565.1141968,0.037258875
565.7513428,0.037402816
566.4521484,0.037561413
567.2230835,0.037736516
568.071167,0.037929405
569.0039673,0.038141951
570.0300903,0.038376786
571.1588745,0.038635172
572.4004517,0.038921494
573.083313,0.039077591
573.8345337,0.039251968
574.6608276,0.039441403
574.8880615,0.039494157
575.1380005,0.039551646
575.4129028,0.039615806
575.7153931,0.039685782
576.0480347,0.039763097
576.4140015,0.039848287
576.8165894,0.03994178
577.2593994,0.04004496
577.74646,0.040158048
578.2822876,0.040283285
578.8716431,0.040420856
579.5199585,0.040572818
580.2330933,0.040740121
581.0175781,0.040925
581.8804321,0.041128326
582.8296509,0.041352447
583.8737793,0.041600034
585.0222778,0.041872803
586.2857056,0.042174105
586.9805298,0.04233944
587.744873,0.042522885
588.5856323,0.042722989
589.510498,0.042947244
589.7648315,0.04300781
590.0446167,0.043075174
590.352356,0.043148592
590.690918,0.043230247
591.0632324,0.043320011
591.4729004,0.043418743
591.9234619,0.043527048
592.4190674,0.043647073
592.9642334,0.043779515
593.5639648,0.043924537
594.2236328,0.044085346
594.9492798,0.044262197
595.7474976,0.044457398
596.6255493,0.044671886
597.5913696,0.044909168
598.6538086,0.045170702
599.8225098,0.045459114
601.1080322,0.045777872
602.5220947,0.046129111
603.2998657,0.046321686
604.1553955,0.046535969
604.390625,0.046593778
604.6494141,0.0466583
604.934082,0.046729553
605.2472534,0.046807684
605.5917358,0.046894308
605.9705811,0.046988491
606.3873901,0.047093086
606.8458862,0.04720825
607.3502197,0.047335226
607.9049683,0.047474913
608.5151978,0.047629043
609.1864014,0.047798824
609.9248047,0.0479858
610.7369995,0.04819227
611.6304321,0.048419915
612.6132202,0.048670232
613.6942749,0.048947241
614.2888184,0.04909898
614.9428711,0.049267076
615.6622925,0.049451906
616.4536743,0.049656406
617.3242188,0.049880993
618.2817993,0.050130259
619.335144,0.050402243
619.6248169,0.050478116
619.9434204,0.050560571
620.2939453,0.050651491
620.6794434,0.050752144
621.1035767,0.050863039
621.5700684,0.050984446
622.083252,0.051118542
622.6477051,0.051266883
623.2686157,0.051429838
623.9516602,0.051610082
624.7030029,0.051808383
625.5294189,0.052026585
626.4385376,0.052267428
627.4385376,0.05253331
628.5385742,0.052826587
629.7485352,0.053149749
631.0795898,0.053508855
631.8116455,0.053704288
632.6168823,0.053920113
633.5026855,0.054161936
633.7462769,0.054226771
634.0142212,0.054298937
634.30896,0.054379024
634.6331787,0.054466877
634.9898071,0.054563362
635.3821411,0.054669708
635.8136597,0.054787021
636.2883301,0.054916032
636.8104858,0.055058733
637.3848877,0.055215377
638.0167236,0.055388689
638.7116699,0.055579517
639.4761963,0.055789925
640.3171387,0.05602102
641.2421875,0.056277692
642.2597046,0.056559365
643.3790283,0.056870997
644.6102295,0.057214499
645.9645996,0.05759443
646.7094727,0.057802655
647.5288696,0.058034085
648.4301758,0.058286913
649.4216309,0.058568999
650.512207,0.058876615
650.8121338,0.058961526
651.1420288,0.059055611
651.5049438,0.059158981
651.9041138,0.059271947
652.3432007,0.059397161
652.8262329,0.059535157
653.3575439,0.059687618
653.9420166,0.059855025
654.5848999,0.060039572
655.2920532,0.060243763
656.0699463,0.060468309
656.9256592,0.060715489
657.8669434,0.06098887
658.9022827,0.061290748
660.0411987,0.061623003
661.2940063,0.061990932
661.9830933,0.062192332
662.7410278,0.062415309
663.5747681,0.062660627
664.4918823,0.062932491
665.5007324,0.06322974
665.7781982,0.06331268
666.083313,0.063403942
666.4190063,0.063503601
666.788269,0.063613884
667.194458,0.063734353
667.6412964,0.063867211
668.1327515,0.064014435
668.6734009,0.064176425
669.2680664,0.064354882
669.9222412,0.064550824
670.6418457,0.06476859
671.4333496,0.065007545
672.3040771,0.065270565
673.2618408,0.065562069
674.3153687,0.065882877
674.8948364,0.066059209
675.5322266,0.066254117
676.2333374,0.06646844
677.0045776,0.066705398
677.8529663,0.066966251
678.7861328,0.067254767
679.8126831,0.067572176
680.9418335,0.067924805
681.5628662,0.068116233
682.2460327,0.06833002
682.9974976,0.068564549
683.8240967,0.068823978
684.7333984,0.069109194
684.9834595,0.069187313
685.2584839,0.069273867
685.5610962,0.069368832
685.8938599,0.069473833
686.2600098,0.069589131
686.6627197,0.06971658
687.1056519,0.069856651
687.5929565,0.070011146
688.1289673,0.070181198
688.7185669,0.070368819
689.3671265,0.070576459
690.0805664,0.070803799
690.8652954,0.071055539
691.7285767,0.071332991
692.6781006,0.071638823
693.7226563,0.071977399
694.2971191,0.072161809
694.9290771,0.072366975
695.6242065,0.072592311
696.388855,0.072842024
697.2299805,0.07311701
698.1551514,0.073420435
699.1729126,0.073754981
700.2924194,0.074125022
700.9081421,0.074327931
701.5854492,0.074551806
702.3305054,0.074798711
703.1500244,0.075071916
704.0515137,0.075373024
704.5473633,0.075538136
705.0927734,0.075720273
705.692688,0.075922444
706.3526611,0.076143526
707.0786133,0.076388575
707.8771362,0.076658219
708.7554932,0.076956511
709.7216797,0.077285454
710.2531128,0.077465899
710.8377075,0.077665873
711.4807129,0.077885397
712.1880493,0.078128085
712.9660645,0.078395456
713.8219604,0.07869105
714.7633667,0.079014875
715.0222778,0.079104707
715.3070679,0.079203129
715.6203003,0.079311982
715.9649048,0.079431683
716.3439331,0.079563141
716.7609253,0.079708725
717.2195435,0.079868421
717.7240601,0.080044925
718.2790527,0.080238894
718.8895264,0.08045385
719.5610352,0.080689989
720.2996826,0.080950812
721.1122437,0.081238002
722.0059814,0.081555508
722.9891357,0.081906021
724.0706177,0.082293473
725.2602539,0.082721315
725.9145508,0.082955711
726.6342773,0.083215594
727.4259644,0.083502308
728.296814,0.083817922
728.5363159,0.083905108
728.7997437,0.084000923
729.0895386,0.084105305
729.4082642,0.084222376
729.7589111,0.084349811
730.1445923,0.084490739
730.5689087,0.084645621
731.0355835,0.084816985
731.5489502,0.085004769
732.1136475,0.085213304
732.7348022,0.085443273
733.4180908,0.085696168
734.1696777,0.085974775
734.99646,0.086283587
735.9059448,0.086624406
736.906311,0.087000899
737.456543,0.087206319
738.0617676,0.087435476
738.7275391,0.08768703
739.4598999,0.087964803
740.2654419,0.088271908
741.1516113,0.088609941
741.2620239,0.088652015
741.2620239,0.088652015
742.2620239,0.088890277
743.2620239,0.089058042
744.2620239,0.089188069
745.3619995,0.089302205
746.5720215,0.089405738
747.9030151,0.089499071
749.3671265,0.089586064
750.9776611,0.089668259
752.7492065,0.089745663
754.697937,0.089818969
756.8414917,0.089889333
759.1994629,0.089957036
761.7932129,0.090023093
764.6463013,0.090087481
767.784729,0.090149254
771.2369995,0.090210326
775.0344849,0.090269737
779.211731,0.090328269
783.8067017,0.090386033
788.8612061,0.090442471
794.4211426,0.090498872
800.5370483,0.090553962
807.2645264,0.090608537
814.6647949,0.090662599
822.8050537,0.09071631
831.7593384,0.090769701
841.6090698,0.09082251
852.4437866,0.090875342
864.3619385,0.090927824
877.4719238,0.090980321
891.8929443,0.091031373
907.7560425,0.091082804
925.2054443,0.091134526
944.3997803,0.091185629
965.5135498,0.091237143
988.7387085,0.091288529
1014.286377,0.091338813
1042.388794,0.091389328
1073.301514,0.09144032
1107.30542,0.091490589
1144.709839,0.091541149
1185.854614,0.091591291
1231.11377,0.091641366
1280.898926,0.091691911
1335.66272,0.091742255
1395.902832,0.091792829
1462.16687,0.091842763
1535.057373,0.091893025
1615.236816,0.09194351
1703.434326,0.091993973
1800.45166,0.092044666
1907.170654,0.092094675
2024.561523,0.092145175
2153.691406,0.092194572
2295.734375,0.092244484
2451.981445,0.092294902
2623.853516,0.092345469
2812.912598,0.09239608
3020.877686,0.092446797
3249.63916,0.092497475
3501.276855,0.092547297
3778.078369,0.092597388
4082.560059,0.092648357
4417.489746,0.092698976
4785.912598,0.092749543
5191.177734,0.092799708
5636.969238,0.092850715
6127.340332,0.092901148
6666.748047,0.092951797
7260.09668,0.093002662
7912.779785,0.093054101
8630.731445,0.093104623
9420.478516,0.093155369
10289.2002,0.093206592
11244.79395,0.093257345
12295.94727,0.093308195
13452.21582,0.093359217
14724.11035,0.093410321
16123.19531,0.093461558
17662.18945,0.093512997
19355.08203,0.093564652
21217.26367,0.093616322
23265.66406,0.093667358
25518.9043,0.093718395
27997.46875,0.09377005
30723.88867,0.093821935
33722.95313,0.093873896
37021.92188,0.093926035
40650.78516,0.093978368
44642.53906,0.094029278
49033.46875,0.09408126
53863.48828,0.094133407
59176.51172,0.094185948
65020.83594,0.094238192
71449.59375,0.094291076
78521.22656,0.094343156
86300.02344,0.094396301
94856.70313,0.094449304
104269.0469,0.09450265
114622.625,0.094555937
126011.5625,0.094609097
138539.3906,0.094661959
152320,0.094715439
167478.6719,0.094769217
184153.2188,0.094823986
202495.2031,0.09487886
222671.4063,0.094933391
244865.2188,0.094989389
269278.4063,0.095044628
296132.9063,0.095101073
325672.875,0.095157377
358166.8438,0.095213741
393910.1875,0.095271163
429910.1875,0.095324956
465910.1875,0.095373973
501910.1875,0.09542086
537910.1875,0.095464453
573910.1875,0.095505647
609910.1875,0.095545419
645910.1875,0.095583096
681910.1875,0.095618472
717910.1875,0.095652945
720741.25,0.095655829
