Time 240,Strain 240,Time 240 Creep,Strain 240 Creep,,Time 280,Strain 280,Time 280 Creep,Strain 280 Creep,,Time 300,Strain 300,Time 300 Creep,Strain 300 Creep,,Time 320,Strain 320,Time 320 Creep,Strain 320 Creep,,Time 280 Chris1,Strain 280 Chris1,,,Time 280 Chris2,Strain 280 Chris2,,,Time 280 MOOSE,Strain 280 MOOSE,,,Time 280 Creep FITTED,Strain 280 Creep FITTED,,,Time 320 Creep FITTED,Strain 320 Creep FITTED
0.250015616,0.047683477,0.312293887,2.43E-05,,0.22426863,0.070519425,0.329363167,6.73E-05,,0.235754,0.082813,0.330445,9.39E-05,,0.228250206,0.096124955,0.263281733,9.10E-05,,2.522222222,0.009534156,,,0.016666667,0.001934662,,,15,0.000222685,,,0.162450477,8.50E-05,,,0.342314631,0.000137988
0.274926931,0.047686905,0.368344307,2.85E-05,,0.26630646,0.070529141,0.423948228,7.89E-05,,0.27363,0.082827,0.415668,0.00011,,0.24226281,0.096139111,0.294810086,0.000106653,,2.605555556,0.010468983,,,0.017222222,-0.000938848,,,15.5,0.000226254,,,0.173673227,9.97E-05,,,0.413253427,0.000161723
0.312293887,0.04769085,0.452419937,3.34E-05,,0.329363167,0.070540927,0.56582588,9.25E-05,,0.330445,0.082843,0.543502,0.000129,,0.263281733,0.096154854,0.342102617,0.000125013,,2.688888889,0.013331619,,,0.017777778,-0.000938848,,,16,0.000229753,,,0.190507337,0.000116908,,,0.519661665,0.000189567
0.368344307,0.047695618,0.578533351,3.91E-05,,0.423948228,0.070554204,0.778642297,0.000108452,,0.415668,0.082863,0.735253,0.000151,,0.294810086,0.096173957,0.413041413,0.000146546,,2.772222222,0.011423195,,,0.018333333,0.000938877,,,16.5,0.000233189,,,0.215758502,0.000137164,,,0.679273963,0.000222226
0.452419937,0.047701061,0.767703474,4.58E-05,,0.56582588,0.070569925,1.097867012,0.000127147,,0.543502,0.082885,1.02288,0.000177,,0.342102617,0.096196733,0.519449651,0.000171801,,2.855555556,0.010488368,,,0.018888889,-0.001900396,,,17,0.000236562,,,0.253635257,0.000160954,,,0.91869247,0.000260535
0.578533351,0.047707368,1.051458716,5.37E-05,,0.778642297,0.070588626,1.576703906,0.000149066,,0.735253,0.082911,1.45432,0.000208,,0.413041413,0.096223012,0.679061949,0.000201417,,2.938888889,0.014258336,,,0.019444444,0.000961548,,,17.5,0.000239876,,,0.310450375,0.000188902,,,1.27782023,0.000305465
0.767703474,0.047714867,1.47709167,6.30E-05,,1.097867012,0.070609897,2.294959545,0.000174769,,1.02288,0.082942,2.10148,0.000244,,0.519449651,0.096253291,0.918480456,0.00023615,,3.022222222,0.013284739,,,0.02,0.001934662,,,18,0.000243134,,,0.395673096,0.000221749,,,1.816511869,0.000358166
1.051458716,0.047723729,2.115540981,7.39E-05,,1.576703906,0.070635349,3.372342587,0.000204909,,1.45432,0.082978,3.072219,0.000286,,0.679061949,0.096289501,1.277608275,0.000276883,,3.105555556,0.013331619,,,0.020555556,0,,,18.5,0.000246339,,,0.523507118,0.000260367,,,2.62454915,0.000419982
1.47709167,0.047734126,3.073215008,8.66E-05,,2.294959545,0.070665188,4.988417149,0.000240251,,2.10148,0.083021,4.528329,0.000335,,0.918480456,0.096332103,1.816299796,0.000324655,,3.188888889,0.012377407,,,0.021111111,-2.27E-05,,,19,0.000249491,,,0.715258181,0.000305797,,,3.83660531,0.000492492
2.115540981,0.047746096,4.509725571,0.00010154,,3.372342587,0.070700511,7.412529469,0.000281697,,3.072219,0.08307,6.712493,0.000393,,1.277608275,0.096381448,2.624337196,0.000380684,,3.272222222,0.013284739,,,0.021666667,0.001900425,,,19.5,0.000252595,,,1.002884746,0.000359272,,,5.654689312,0.000577561
